team_id,team_name,team_seed,team_region,playin_flag,team_alive,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,win_odds,timestamp
96,Kentucky,1,Midwest,0,1,1,0.999000987,0.940680256,0.855976648,0.732434616,0.535532304,0.413463226,1.41859477738,3/19/2015 10:54
2363,Manhattan,16a,Midwest,1,0,0,0,0,0,0,0,0,--,3/19/2015 10:54
2261,Hampton,16b,Midwest,1,1,1,0.000999013,0.000100512,1.19956E-05,1.10061E-06,5.2982E-08,4.23782E-09,235970214.712,3/19/2015 10:54
2132,Cincinnati,8,Midwest,0,1,1,0.53688702,0.034181745,0.017288711,0.007185959,0.002070152,0.000737469,1354.98865432,3/19/2015 10:54
2509,Purdue,9,Midwest,0,1,1,0.46311298,0.025037487,0.012099071,0.00477981,0.001385703,0.000496931,2011.35064434,3/19/2015 10:54
277,West Virginia,5,Midwest,0,1,1,0.682463058,0.391825247,0.052809929,0.025237141,0.007449738,0.00269668,369.826357431,3/19/2015 10:54
2084,Buffalo,12,Midwest,0,1,1,0.317536942,0.130247881,0.010026974,0.003489188,0.000660142,0.000164841,6065.46773613,3/19/2015 10:54
120,Maryland,4,Midwest,0,1,1,0.717329757,0.382712018,0.046530787,0.02102112,0.005806928,0.001987671,502.101472065,3/19/2015 10:54
2674,Valparaiso,13,Midwest,0,1,1,0.282670243,0.095214854,0.005255884,0.001487428,0.000280619,7.00836E-05,14267.6772025,3/19/2015 10:54
2086,Butler,6,Midwest,0,1,1,0.455061867,0.178993399,0.078636375,0.012614824,0.004699837,0.00207699,480.465975302,3/19/2015 10:54
251,Texas,11,Midwest,0,1,1,0.544938133,0.234595102,0.107203937,0.018172384,0.005677207,0.002159577,462.053580778,3/19/2015 10:54
87,Notre Dame,3,Midwest,0,1,1,0.899272914,0.565706816,0.322751551,0.076401511,0.031242744,0.014846967,66.3538239156,3/19/2015 10:54
111,Northeastern,14,Midwest,0,1,1,0.100727086,0.020704683,0.003586315,0.000182607,1.74359E-05,2.44612E-06,408809.108172,3/19/2015 10:54
2724,Wichita State,7,Midwest,0,1,1,0.715652527,0.360058896,0.174446757,0.033399026,0.011594402,0.004811072,206.853894553,3/19/2015 10:54
84,Indiana,10,Midwest,0,1,1,0.284347473,0.090279897,0.03437827,0.004723327,0.001412517,0.00052003,1921.96744419,3/19/2015 10:54
2305,Kansas,2,Midwest,0,1,1,0.889897492,0.527615529,0.275046144,0.058652409,0.022486143,0.010124812,97.7672649307,3/19/2015 10:54
166,New Mexico State,15,Midwest,0,1,1,0.110102508,0.022045678,0.00395065,0.000217551,2.57445E-05,4.34018E-06,230404.170484,3/19/2015 10:54
275,Wisconsin,1,West,0,1,1,0.984445021,0.852739564,0.629545024,0.324853852,0.146671746,0.095832081,9.43491896433,3/19/2015 10:54
324,Coastal Carolina,16,West,0,1,1,0.015554979,0.00305844,0.000400532,2.55075E-05,1.38055E-06,1.70142E-07,5877448.81441,3/19/2015 10:54
2483,Oregon,8,West,0,1,1,0.406109461,0.047751494,0.020138603,0.004845263,0.000579376,0.000138399,7224.51018608,3/19/2015 10:54
197,Oklahoma State,9,West,0,1,1,0.593890539,0.096450501,0.038600809,0.00868408,0.001356214,0.00040275,2481.92962238,3/19/2015 10:54
8,Arkansas,5,West,0,1,1,0.760941357,0.282446532,0.075030596,0.020145278,0.004048599,0.001467065,680.633162243,3/19/2015 10:54
2747,Wofford,12,West,0,1,1,0.239058643,0.042526294,0.003683026,0.000361925,3.08471E-05,5.58021E-06,179203.60017,3/19/2015 10:54
153,North Carolina,4,West,0,1,1,0.860863805,0.624220937,0.226494761,0.08075293,0.02437073,0.012009738,82.2657632649,3/19/2015 10:54
108,Harvard,13,West,0,1,1,0.139136195,0.050806236,0.00610665,0.000805677,8.58886E-05,1.87444E-05,53348.18343,3/19/2015 10:54
2752,Xavier,6,West,0,1,1,0.567156902,0.266361286,0.047093679,0.012874147,0.002905562,0.001155015,864.789264895,3/19/2015 10:54
252,Brigham Young,11a,West,1,0,0,0,0,0,0,0,0,--,3/19/2015 10:54
145,Ole Miss,11b,West,1,1,1,0.432843098,0.178782475,0.026057388,0.006094023,0.00096553,0.000291045,3434.90004128,3/19/2015 10:54
239,Baylor,3,West,0,1,1,0.758454213,0.465939445,0.123998557,0.047116958,0.010570444,0.00416563,239.059720239,3/19/2015 10:54
2247,Georgia State,14,West,0,1,1,0.241545787,0.088916794,0.007885667,0.001215374,0.000135357,3.06073E-05,32670.9679327,3/19/2015 10:54
2670,Virginia Commonwealth,7,West,0,1,1,0.363931963,0.04666678,0.021454722,0.005521732,0.001020683,0.000347995,2872.60190488,3/19/2015 10:54
194,Ohio State,10,West,0,1,1,0.636068037,0.129281076,0.074315786,0.026046033,0.007244292,0.003372937,295.477538879,3/19/2015 10:54
12,Arizona,2,West,0,1,1,0.993295046,0.823399326,0.699107814,0.460652301,0.169671525,0.09618842,9.39626186902,3/19/2015 10:54
2640,Texas Southern,15,West,0,1,1,0.006704954,0.000652818,8.63877E-05,4.91949E-06,1.56865E-07,1.21805E-08,82098374.0311,3/19/2015 10:54
150,Duke,1,South,0,1,1,0.981596637,0.843408299,0.55642246,0.326852478,0.166420859,0.058482077,16.0992557743,3/19/2015 10:54
2454,North Florida,16a,South,1,0,0,0,0,0,0,0,0,--,3/19/2015 10:54
2523,Robert Morris,16b,South,1,1,1,0.018403363,0.003779181,0.000464955,4.57331E-05,4.6442E-06,2.87453E-07,3478823.09872,3/19/2015 10:54
21,San Diego State,8,South,0,1,1,0.582384112,0.098954725,0.04351295,0.016332381,0.00431905,0.00072014,1387.61940198,3/19/2015 10:54
2599,St. John's,9,South,0,1,1,0.417615888,0.053857795,0.015807579,0.003847456,0.000882403,0.000126655,7894.45252712,3/19/2015 10:54
254,Utah,5,South,0,1,1,0.822513228,0.623432018,0.272896201,0.1345865,0.050304183,0.012272628,80.48214125,3/19/2015 10:54
2617,Stephen F. Austin,12,South,0,1,1,0.177486772,0.081487057,0.025038391,0.009100591,0.001956619,0.000261036,3829.89423113,3/19/2015 10:54
46,Georgetown,4,South,0,1,1,0.773918101,0.261964711,0.083234034,0.031030044,0.00992446,0.002039541,489.30628678,3/19/2015 10:54
331,Eastern Washington,13,South,0,1,1,0.226081899,0.033116214,0.002623431,0.000279489,2.16851E-05,1.00582E-06,994210.501977,3/19/2015 10:54
2567,Southern Methodist,6,South,0,1,1,0.642861058,0.24056284,0.101689449,0.042571625,0.012315002,0.002259629,441.550428773,3/19/2015 10:54
26,UCLA,11,South,0,1,1,0.357138942,0.094647117,0.027523414,0.008136212,0.001778248,0.00024162,4137.72606343,3/19/2015 10:54
66,Iowa State,3,South,0,1,1,0.907896808,0.640838638,0.316751606,0.153423495,0.065764129,0.018827101,52.1149220238,3/19/2015 10:54
5,UAB,14,South,0,1,1,0.092103192,0.023951405,0.003198631,0.000463332,5.46843E-05,3.91046E-06,255723.297687,3/19/2015 10:54
2294,Iowa,7,South,0,1,1,0.623859883,0.13846929,0.061129029,0.023565058,0.008288411,0.001901166,524.993110446,3/19/2015 10:54
2166,Davidson,10,South,0,1,1,0.376140117,0.056703921,0.020539389,0.006463176,0.001827418,0.000329571,3033.24322049,3/19/2015 10:54
2250,Gonzaga,2,South,0,1,1,0.974276799,0.799684775,0.468532036,0.243233883,0.104132313,0.029694083,32.676743413,3/19/2015 10:54
2449,North Dakota State,15,South,0,1,1,0.025723201,0.005142013,0.000636445,6.85469E-05,6.49113E-06,3.71922E-07,2688733.91339,3/19/2015 10:54
222,Villanova,1,East,0,1,1,0.98493765,0.839207965,0.699631899,0.463327753,0.287552379,0.10953718,8.12932027715,3/19/2015 10:54
322,Lafayette,16,East,0,1,1,0.01506235,0.002653097,0.000553834,5.57266E-05,5.09393E-06,2.01109E-07,4972426.50939,3/19/2015 10:54
152,North Carolina State,8,East,0,1,1,0.589299423,0.104244815,0.055535159,0.01856499,0.006460323,0.001148178,869.944760675,3/19/2015 10:54
99,LSU,9,East,0,1,1,0.410700577,0.053894123,0.024845793,0.006823735,0.002152853,0.00034069,2934.21916439,3/19/2015 10:54
2460,Northern Iowa,5,East,0,1,1,0.752684556,0.424877553,0.100795868,0.03517635,0.013925546,0.002900137,343.811290828,3/19/2015 10:54
2751,Wyoming,12,East,0,1,1,0.247315444,0.082486791,0.006708799,0.000950463,0.000162292,1.26129E-05,79283.0934619,3/19/2015 10:54
97,Louisville,4,East,0,1,1,0.744975249,0.409111524,0.105801715,0.039608972,0.017770078,0.00435079,228.84330389,3/19/2015 10:54
300,UC Irvine,13,East,0,1,1,0.255024751,0.083524132,0.006126933,0.000792598,0.000123568,8.67176E-06,115315.821654,3/19/2015 10:54
2507,Providence,6,East,0,1,1,0.513612635,0.208248346,0.068033917,0.021880263,0.007482093,0.001301106,767.577062638,3/19/2015 10:54
68,Boise State,11a,East,1,0,0,0,0,0,0,0,0,--,3/19/2015 10:54
2168,Dayton,11b,East,1,1,1,0.486387365,0.191097193,0.043537892,0.010093992,0.003419082,0.000587054,1702.42218792,3/19/2015 10:54
201,Oklahoma,3,East,0,1,1,0.901897813,0.579873083,0.222516268,0.08258511,0.039408345,0.010437226,94.8109024811,3/19/2015 10:54
399,Albany,14,East,0,1,1,0.098102187,0.020781379,0.002583305,0.000354788,4.9073E-05,3.02953E-06,330083.066264,3/19/2015 10:54
127,Michigan State,7,East,0,1,1,0.622451894,0.181358985,0.104379997,0.040019512,0.01976612,0.005505402,180.63978405,3/19/2015 10:54
61,Georgia,10,East,0,1,1,0.377548106,0.078439477,0.032233457,0.008179692,0.002809312,0.000493173,2026.68512548,3/19/2015 10:54
258,Virginia,2,East,0,1,1,0.963731659,0.733605892,0.525488797,0.271454937,0.170890767,0.066622626,14.0099156603,3/19/2015 10:54
2057,Belmont,15,East,0,1,1,0.036268341,0.006595647,0.001226367,0.00013112,2.24783E-05,1.7709E-06,564682.815307,3/19/2015 10:54
